canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Russula compressa,"Russula compressa Buyck, 1989",Rus com,doko bonedji,Gando,Toxic red mushroom,1,
Amanita annulatovaginata,Amanita annulatovaginata Beeli 1927,Ama ann,dongoma,Bariba,Fire mushroom,1,
Podaxis pistillaris,"Podaxis pistillaris (L.) Fr., 1829",Pod pis,dongoma,Bariba,Fire mushroom,1,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,dongoma,Bariba,Fire mushroom,2,
Russula cellulata,"Russula cellulata Buyck, 1989",Rus cel,dossin gomi,Bariba,The mushroom of the step family,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,douci gomi,Bariba,Mushroom of the step family,2,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,douci gomi / tountorokorandi,Bariba,Mushroom of the step family,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,douci gomi / tountorokorandi,Bariba,You have to share it,1,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,doun-koko,Bariba,Swollen knee,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,doussi-komi / tontourokouroni,Bariba,One person can't eat it / share it with the family,1,
Amanita loosii,"Amanita loosii Beeli, 1936",Ama loo,ekou-aghinekou,Bariba,Knee of the elephant,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,enandji,Gando,Milk mushroom,6,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,enandji,Peuhl,Milk mushroom,1,
Afroboletus luteolus,"Afroboletus luteolus (Heinem.) Pegler & T.W.K. Young, 1981",Afr lut,engel nague,Gando,The tongue of the cow,1,
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,engel nague,Gando,The tongue of the cow,1,
Gyroporus sp.,Gyroporus Quél.,Gyr sp,engel nague,Gando,The tongue of the cow,1,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,farabagouna,Yom,"The mushroom of ""butte""",1,
Pulveroboletus sokponianus,"Pulveroboletus sokponianus Badou, De Kesel, Raspé & Yorou 2018",Pul sok,fonogouha,Yom,Devil mushroom,0,*
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,foulaoura,Gando,Upside down hat,2,
Amanita pulverulenta,"Amanita pulverulenta Beeli, 1927",Ama pul,foulerigi,Yom,Hide nudity,1,
Amanita xanthogala,"Amanita xanthogala Bas, 1969",Ama xan,foulerigi,Yom,Hide nudity,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,foulerli,Yom,Hide nudity,2,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,foulerli,Yom,Hide nudity,1,
Cookeina sulcipes,"Cookeina sulcipes (Berk.) Kuntze, 1891",Coo sul,foulerli,Yom,Given name,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,foulerlom,Yom,"Hide nudity - bc when it grow it  wears a ""pagne""",0,*
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,foumi,Yom,Old person's bum,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,foumi,Yom,Old person mushroom,3,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,foumi,Yom,Old person's bum,1,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,foumi,Yom,old woman bum,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,foumi,Yom,Old person mushroom,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,foumi,Yom,Old person's bum,1,
Phlebopus sudanicus,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954",Phl sud,founa gouna,Yom,The devil's mushroom,1,
Hebeloma termitaria,"Hebeloma termitaria De Kesel, Codjia & Yourou",Heb ter,foura oure,Bariba,You need to be strong to eat,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,foura oure,Gando,This is just the given name,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,fouropote,Gando,Take of the hat,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,fouropote,Gando,Take of your hat (they usually meet it on their way back and keep it in their hat),1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,fro-fro,Lokpa,sticky,1,
"Mallocybe ""africana""","Mallocybe africana Aignon, Naseer, Matheny, Yorou & Rybery, in prep.",Mal afr,gambara binou,Bariba,Mushroom of the tam-tam (even if small there are a lot ie a lot of noise),0,*
Megacollybia sp.,Megacollybia Kotl. & Pouzar 1972,Meg sp,gnamatake,Gando,Toxic,1,
Lactarius saponaceus,"Lactarius saponaceus Verbeken, 1996",Lac sap,gne koudjidji,Gando,It stings,1,
